ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,FLAG_NM,REGIST_AT,TEL_NO,OPNNG_DE,REGIST_DC,REGIST_DE,REGIST_NO,HMPG_ADDR,SOUND_PROVD_AT,SOUND_UTILIIZA_PRICE,MOBILE_PROVD_AT,LND_AR_VALUE,BULD_AR_VALUE,DSPY_AR_CN,AR_CN,EDC_FCLTY_AR_VALUE,OFFM_AR_CN,DATA_SPCE_AR_VALUE,DATA_CO,PBLPRFR_CAS_CO,TOT_PROGRM_CO,OPNNG_DAY_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,VIEWNG_PRICE,INFN_VIEWNG_PRICE,SCHBOY_VIEWNG_PRICE,MSKLSD_VIEWNG_PRICE,ADULT_VIEWNG_PRICE,GRP_DSCNT_RT,ETC_DSCNT_RT,DSCNT_CN,FRE_TRGET_CN,SPECL_VIEWNG_PRICE,INFN_SPECL_VIEWNG_PRICE,SCHBOY_SPECL_VIEWNG_PRICE,MSKLSD_SPECL_VIEWNG_PRICE,ADULT_SPECL_VIEWNG_PRICE,GRP_SPECL_VIEWNG_RT,ETC_SPECL_VIEWNG_DSCNT_RT,ETC_SPECL_VIEWNG_DSCNT_CN,FRE_SPECL_VIEWNG_PRICE,NMPR_CO,GVRNM_EMP_SM_CO,QUALF_HOLD_CO,TOT_CNTRCT_EMP_CO,CNTRCT_EMP_CRTFCT_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_INTN_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,CURTR_QUALF_HOLD_CO,CURTR_NTHG_QUALF_HOLD_CO,PRFSN_CO,GNRL_EMP_CO,PRVATE_INTN_CO,PRVATE_VLNTER_CO,RM_CN,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMART22N000000011,문화시설,미술관,"성북예술창작터,(성북구립미술관 분관)",서울,성북구,1129010200,성북동1가,1129052500,성북동,1.12903E+11,서울 성북구 성북로 23,2880,다사562546,127.004123,37.5900523,공립,미등록,02-2038-9989,2013.04.11,N,미등록,미등록,https://sma.sbculture.or.kr/youngartspace/,N,,N,131.2,204.76,135,,,15,,,연2회,4,147,3412,23.21088435,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000012,문화시설,미술관,종로구립 고희동미술관,서울,종로구,1111014900,원서동,1111060000,가회동,1.11104E+11,서울 종로구 창덕궁5길 40,3051,다사548538,126.9888849,37.5831855,공립,등록,02-741-8149,2017.11.29,Y,2017.11.29,서울-공립21-2017-04호,www.jfac.or.kr,N,,N,540.2,162,83,3,,3,,,연1회,2,310,20099,64.83548387,,,,,,,,,전체,,,,,,,,,,,,,,,,5,,,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000013,문화시설,미술관,종로구립 박노수미술관,서울,종로구,1111011100,옥인동,1111051500,청운효자동,1.11104E+11,서울 종로구 옥인1길 34,3034,다사529536,126.9668185,37.5813192,공립,등록,02-2148-4171,2013.09.11,Y,2013.08.13.,서울-공립13-2013-07호,https://www.jfac.or.kr/site/main/content/parkns01,N,,N,957,351,191,97,,12,,,연1회,2,177,13144,74.25988701,,,,,,,,,,"3,000",무료,"1,200","1,800","1800 (19~24세 1800원, 25세~ 3000원)","40 (어른 40, 청소년 33, 어린이 50)",50,"종로구민(50% 할인), 한복착용(50% 할인), 문화가 있는 날(50% 할인)","국빈·외교사절단 및 수행자, 6세 이하 어린이, 만 65세 이상, 장애인 및 보호자, 국가유공자와 그 유족 또는 가족, 기초수급자, 다둥이행복카드 소지자 및 가족, 종로구 명예구민, 연구 및 공무수행",,,,1,,,3,,127,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000014,문화시설,미술관,63아트,서울,영등포구,1156011000,여의도동,1156054000,여의동,1.15603E+11,서울 영등포구 63로 50,7345,다사505468,126.9399093,37.5196642,사립,등록,02-1833-7001,2008.09.26,Y,2008.09.26,서울-사립13-2008-13호,www.63art.co.kr,Y,3000,N,10592,2112,2122,59,,,,,,,365,,,"15,000","11,000","11,000","15,000","15,000",30,,,36개월 미만,,,,,,,,,,,,,,,,,,,,,27,27,27,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000015,문화시설,미술관,JCC아트센터,서울,종로구,1111016900,혜화동,1111065000,혜화동,1.11104E+11,서울 종로구 창경궁로35길 29,3076,다사560543,127.0018857,37.5871832,사립,등록,02-2183-7373~4,2016.02.22,Y,2016,서울-사립21-2016-01호,http://www.jeijcc.org/,N,,Y,3180.22,121,121,60,,29,,,,,23,,,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,1,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000016,문화시설,미술관,K현대미술관,서울,강남구,1168010700,신사동,1168054500,압구정동,1.16803E+11,서울 강남구 선릉로 807,6019,다사592473,127.0391717,37.5243794,사립,등록,02-2138-0952,2017.01.16,Y,2017.05.26,서울-사립21-2017-02호,www.kmcaseoul.org,Y,3000,N,1534,4967.75,3734,210,150,120,,,연4회,6,270,83000,307.4074074,,,,,,,,,해당없음,"12,000","8,000","8,000","10,000","12,000",20,,해당없음,해당없음,,,,,,,,,,5,3,2,2,2,4,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000017,문화시설,미술관,OCI미술관,서울,종로구,1111012400,수송동,1111061500,종로1.2.3.4가동,1.11103E+11,서울 종로구 우정국로 45-14,3144,다사542527,126.9821283,37.5732395,사립,등록,02-734-0440,2010.08.10,Y,2011.09.30,서울-사립13-2011-03호,www.ocimuseum.org,N,,N,604,1926,738,510,100,149,49,5000,연11회,6,134,4059,30.29104478,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,6,,1,1,1,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000018,문화시설,미술관,금호미술관,서울,종로구,1111014400,사간동,1111054000,삼청동,1.11103E+11,서울 종로구 삼청로 18,3062,다사540532,126.9799128,37.5774667,사립,등록,02-720-5114,1996.11.22,Y,1996.11.22,서울-사립13-1996-02호,http://www.kumhomuseum.com/,N,,Y,682,2311,727,255,68,81,55,1000,연5회,3,252,10594,42.03968254,"3,000","1,000","2,000","2,000","2,000",33,,문화가 있는 날 다운그레이드 할인 / 전시별 상이,만 24개월 미만 유아,"5,000","3,000","4,000","4,000","4,000",20,,문화의 날 다운그레이드 할인 / 전시에 따라 변동,만 24개월 미만 유아,,,,,,,,,,2,,5,5,5,1,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000019,문화시설,미술관,김세중미술관,서울,용산구,1117011900,효창동,1117058000,효창동,1.11704E+11,서울 용산구 효창원로70길 35,4312,다사526493,126.9638828,37.5420179,사립,등록,02-717-5129,2015.07.14,Y,2017.12.12,서울-사립21-2017-07호,www.kimsechoong.com,N,,N,584,565,362,11,118,14,,1000,연6회,17,130,2061,15.85384615,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,3,,,,,,2,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000020,문화시설,미술관,대림미술관,서울,종로구,1111010600,통의동,1111053000,사직동,1.11104E+11,서울 종로구 자하문로4길 21,3044,다사534532,126.9733637,37.5775039,사립,등록,02-720-0667,1996.05.21,Y,1996.11.22,서울-사립13-1996-03호,http://www.daelimmuseum.org/,Y,무료,Y,809.6,1211,763,116,,137,,,연1회,4,60,20232,337.2,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,,,,,,,,전체,,,,,,,,,,6,,5,5,5,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000021,문화시설,미술관,"디뮤지엄,(대림미술관 분관)",서울,성동구,1120011400,성수동1가,1120065000,성수1가1동,1.12003E+11,서울 성동구 왕십리로 83-21,4769,다사596495,127.0433578,37.5441548,사립,등록,02-6233-7200,2015.09.01,Y,2017.03.22,서울-사립13-1996-03호,http://www.daelimmuseum.org/,N,무료,Y,18315,3311.563,2839,192,229.17,117.17,44,,,3,준비중,,,준비중,,,,,,,,,준비중,,,,,,,,,,,,,,,,,,13,,25,25,25,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000022,문화시설,미술관,리움미술관,서울,용산구,1117013100,한남동,1117068500,한남동,1.11704E+11,서울 용산구 이태원로55길 60-16,4348,다사557489,126.9992941,37.5384613,사립,등록,02-2014-6900,2004.10.13,Y,2004.12.06,서울-사립13-2004-07호,www.leeum.org,Y,무료,N,4120,15016,3479,,,873,,100000,연1회,22,75,41255,550.0666667,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,13,23,,,,,103,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000023,문화시설,미술관,밀알미술관,서울,강남구,1168011400,일원동,1168072000,일원본동,1.16803E+11,서울 강남구 일원로 90,6350,다사630430,127.0820718,37.4857819,사립,등록,02-3412-0061,1999.07.30,Y,1999.07.30,서울-사립13-1999-05호,www.milalmuseum.or.kr,N,,N,9832,360,300,132,,165,,300,연0회,,330,2000,6.060606061,,,,,,,,,전체,,,,,,,,,,,,,,,,,,,2,1,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000024,문화시설,미술관,사비나미술관,서울,은평구,1138011400,진관동,1138069000,진관동,1.13803E+11,서울 은평구 진관1로 93,3310,다사496591,126.9292757,37.6301286,사립,등록,02-736-4371,1996.03,Y,2002.07.16,서울-사립13-2002-04호,www.savinamuseum.com,Y,무료,Y,876,1740,1327,127,204,100.23,19,8000,연10회,8,299,7734,25.86622074,,,,,,,,,부분,"8,000","3,000","5,000","5,000","8,000","20인이상 1,000원할인",50,"65세이상 경로, 장애우(동반1인), 국가유공자 50%할인,은평구지역주민 1,000원할인",36개월 이하 유아,,,,,,,,,,3,1,1,1,1,3,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000025,문화시설,미술관,상원미술관,서울,종로구,1111018300,평창동,1111056000,평창동,1.11104E+11,서울 종로구 평창31길 27,3004,다사538570,126.9765689,37.6116284,사립,등록,02-396-3185,2003.09.23,Y,2005.06.09,서울-사립13-2005-04호,www.imageroot.co.kr,N,,N,223,343,219,22,,13,11,13500,연4회,7,207,1680,8.115942029,,,,,,,,,,"2,000",,"1,000","1,000","2,000",10,30~50,"예술인패스소지자 30%, 지역주민 50% 등","만 65세 이상, 만 3세 미만, 국가유공자, 장애인, 멤버쉽카드 소지자 등",,,,,,,,,,3,2,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000026,문화시설,미술관,서울서예박물관,서울,서초구,1165010800,서초동,1165053000,서초3동,1.16502E+11,서울 서초구 남부순환로 2406,6757,다사570424,127.0142152,37.4802402,사립,등록,02-580-1300,1988.02.15,Y,2002.03.12,서울-사립13-2002-01호,www.sac.or.kr,N,,N,2507,8917,1423,377,77,44,90,1000,연3회,,228,34965,153.3552632,,,,,,,,,,"0~15,000원","0~8,000원","0~8,000원","0~12,000원","0~15,000원","정가에서 2,000원",,"(증빙시, 전시별 상이),예술의전당 후원회원 2,000원 할인 (1인 4매),예술의전당 골드회원 2,000원 할인 (1인 4매),예술의전당 블루 · 그린회원, 예당우리V카드 2,000원 할인 (1인 2매),문화의날(50%),* 현장할인 입장가 30~50% 할인,경로우대(만65세 이상) 본인,장애인 1~3급/중증 본인 및 동반 1인,장애인 4~6급/경증, 국가유공자 본인 ,의상자, 국가유공자유족, 의사자유족 본인",전시별 상이,,,,,,,,,,2,,2,2,2,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000027,문화시설,미술관,성곡미술관,서울,종로구,1111012100,신문로2가,1111053000,사직동,1.11104E+11,서울 종로구 경희궁길 42,3175,다사531528,126.9697036,37.5735105,사립,등록,02-737-7650,1995.10.23,Y,1995.10.23,서울-사립13-1995-02호,www.sungkokmuseum.org/,N,,N,8389,5976,1454,215,108,165,,,연4회,5,280,8257,29.48928571,"2,000","2,000","2,000","2,000","2,000",,,전시 관람 시 조각공원 무료입장,"만4세 미만, ICOM 카드 소지자","5,000","5,000","5,000","3,000","5,000",20명 이상 단체 20%,,"만 65세 이상, 장애인, 국가유공자","만 4세 미만, ICOM 카드 소지자",,,,,,,,,,3,,1,1,1,2,유동적,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000028,문화시설,미술관,세종문화회관 미술관,서울,종로구,1111011900,세종로,1111053000,사직동,1.11102E+11,서울 종로구 세종대로 175,3172,다사537526,126.9761683,37.5718479,사립,등록,02 399 1000,"세종·충무공이야기(2009.10.09),세종미술관(2015.04.06)",Y,2015.12.16,서울-사립21-2015-09호,www.sejongpac.or.kr,Y,무료,N,13170,6109,5517,65,127,64,116,35000,연6회,1,"미술관1관 297일,미술관2관 346일",138109,399,,,,,,,,,전체,"4,000~15,000","1000~9,000","1000~9,000","2000~11,000","4,000~15,000",20~23,,"- 서울시 정책카드 10% , - 세종회원 할인 35~40%, - 기업제휴 할인 20%, - 문화가있는날 할인 50%, - 문화예술인 할인 20% 등",#NAME?,,,,,,,,,,4,0,4,4,4,1,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000029,문화시설,미술관,세화미술관,서울,종로구,1111012000,신문로1가,1111053000,사직동,1.11103E+11,서울 종로구 새문안로 68,3184,다사533523,126.9721395,37.5696425,사립,등록,02-2002-7787,2017.10.30,Y,2017.01.31,서울-사립13-2017-01호,www.sehwamuseum.org,N,,N,4815,2133,765,236,44,34,27,1150,연2회,19,249,10422,41.85542169,,,,,,,,,전체,,,,,,,,,,,,,,,,,,,1,3,1,1,1,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000030,문화시설,미술관,소마미술관,서울,송파구,1171011100,방이동,1171056600,오륜동,1.17103E+11,서울 송파구 올림픽로 424,5540,다사660468,127.1155179,37.5203397,사립,등록,02-425-1077,1998.12.31,Y,1998.12.31,서울-사립13-1998-02호,soma.kspo.or.kr,Y,무료,Y,692367,13217,2412,287,429,173,124,5198,,,,,,,,,,,,,,,전체,"3,000",,"1,000","2,000",2000,50,"예술인패스, 군인, 대학생은 청소년요금 적용","만 6세 이하, 만 65세이상, 장애인, 국가유공자 등",,,,,,,,,,11,7,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000031,문화시설,미술관,아라리오뮤지엄 인 스페이스,서울,종로구,1111014900,원서동,1111060000,가회동,1.11103E+11,서울 종로구 율곡로 83,3058,다사548532,126.9883576,37.5777622,사립,등록,02-736-5700,2014.09.01,Y,2014.12.10,서울-사립13-2014-08호,www.arariomuseum.org,Y,무료,N,751,1061,919,112,24,64,30,1691,연2회,,308,11553,37.50974026,"15,000",,"6,000","9,000","15,000",20,20,"• 65세 이상 경로자, 장애인 50% 할인,• 삼성카드 10% 할인, 프리미엄카드 월1회 무료입장(본인적용),• 현대카드 20% M포인트 사용 (현장결제 시 적용)",,,,,,,,,"• 65세 이상 경로자, 장애인 50% 할인,• 삼성카드 10% 할인, 프리미엄카드 월1회 무료입장(본인적용),• 현대카드 20% M포인트 사용 (현장결제 시 적용),• 10인 이상 단체 20%, 학생 단체 10명 이상 30%",,,,,,,,,,,3,,1,1,1,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
