ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,FLAG_NM,REGIST_AT,TEL_NO,OPNNG_DE,REGIST_DC,REGIST_DE,REGIST_NO,HMPG_ADDR,SOUND_PROVD_AT,SOUND_UTILIIZA_PRICE,MOBILE_PROVD_AT,LND_AR_VALUE,BULD_AR_VALUE,DSPY_AR_CN,AR_CN,EDC_FCLTY_AR_VALUE,OFFM_AR_CN,DATA_SPCE_AR_VALUE,DATA_CO,PBLPRFR_CAS_CO,TOT_PROGRM_CO,OPNNG_DAY_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,VIEWNG_PRICE,INFN_VIEWNG_PRICE,SCHBOY_VIEWNG_PRICE,MSKLSD_VIEWNG_PRICE,ADULT_VIEWNG_PRICE,GRP_DSCNT_RT,ETC_DSCNT_RT,DSCNT_CN,FRE_TRGET_CN,SPECL_VIEWNG_PRICE,INFN_SPECL_VIEWNG_PRICE,SCHBOY_SPECL_VIEWNG_PRICE,MSKLSD_SPECL_VIEWNG_PRICE,ADULT_SPECL_VIEWNG_PRICE,GRP_SPECL_VIEWNG_RT,ETC_SPECL_VIEWNG_DSCNT_RT,ETC_SPECL_VIEWNG_DSCNT_CN,FRE_SPECL_VIEWNG_PRICE,NMPR_CO,GVRNM_EMP_SM_CO,QUALF_HOLD_CO,TOT_CNTRCT_EMP_CO,CNTRCT_EMP_CRTFCT_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_INTN_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,CURTR_QUALF_HOLD_CO,CURTR_NTHG_QUALF_HOLD_CO,PRFSN_CO,GNRL_EMP_CO,PRVATE_INTN_CO,PRVATE_VLNTER_CO,RM_CN,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCDMART23N000000001","문화시설","미술관","국립현대미술관(과천관)","경기","과천시","4129010400","막계동","4129056000","문원동","412903195056","경기도 과천시 광명로 313","13829","다사575369","127.0198784","37.4310417","국립","1종","02-2188-6114","1986.08.25","Y","2023.01.02","국립13-2023-01호","www.mmca.go.kr, www.facebook.com/MMCAKorea, ,www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA","Y","1000","Y","66916","37796.8","13788.2","3,819","1,286","4,619","1,172","49,264","연8회","25","364","653842","1796",,,,,,,,,"전체","기획전시별 별도 책정,(2,000원~3,000원 수준)",,,,,"20","20~50","아시아나클럽 일반회원 20% (카드제시자에 한함),,다둥이카드 소지자 20% 할인,,LG유플러스 멤버스 앱 회원 50% 할인(앱쿠폰인증)","1.일반,,만24세 이하 또는 만65세 이상,,대학생(학부생),,국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족),,국가유공자·독립유공자 유족증 소지자,,장애인 및 동행보호자,,문화누리카드 소지자,,미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) ,,국립현대미술관 유료회원,,박물관·미술관 학예사 자격 취득자,,예술인패스 소지자,,ICOM(국제박물관협의회) 카드 소지자,,CIMAN(국제근현대미술관위원회) 카드 소지자,,패트론/파트너 카드 소지자,,학부모 On누리 사이트 내 학교폭력대응 관련 과정 이수증 소지자,,,,2.제휴사,,아시아나클럽 우수회원 카드(카드제시자에 한함),,,,3.매월 마지막 수요일 문화가 있는 날","64","28",,"26",,"151","41","0","22",,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000002","문화시설","미술관","국립현대미술관(서울관)","서울","종로구","1111014200","소격동","1111054000","삼청동","111103100007","서울특별시 종로구 삼청로 30","03062","다사541534","126.9806176","37.5788415","국립","1종","02-3701-9500","2013.11.12","Y","2023.01.02","국립13-2023-01호","www.mmca.go.kr, www.facebook.com/MMCAKorea, ,www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA,www.youtube.com/MMCAKorea, tv.naver.com/mmca","Y","1000","Y","27264.37","52125.19","10070","3,078","5,641","2,888","1,434","35,368","연12회","19","362","1806641","4991",,,,,,,,,"전체","4000(통합권)",,,,,"20","20~50","아시아나클럽 일반회원 20% (카드제시자에 한함),,다둥이카드 소지자 20% 할인,,LG유플러스 멤버스 앱 회원 50% 할인(앱쿠폰인증)","1.일반,,만24세 이하 또는 만65세 이상,,대학생(학부생),,국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족),,국가유공자·독립유공자 유족증 소지자,,장애인 및 동행보호자,,문화누리카드 소지자,,미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) ,,국립현대미술관 유료회원,,박물관·미술관 학예사 자격 취득자,,예술인패스 소지자,,ICOM(국제박물관협의회) 카드 소지자,,CIMAN(국제근현대미술관위원회) 카드 소지자,,패트론/파트너 카드 소지자,,학부모 On누리 사이트 내 학교폭력대응 관련 과정 이수증 소지자,,,,2.제휴사,,아시아나클럽 우수회원 카드(카드제시자에 한함),,,,3.매월 마지막 수요일 문화가 있는 날","64","28",,"6",,"151","57","0","0",,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000003","문화시설","미술관","국립현대미술관(덕수궁관)","서울","중구","1114016700","정동","1114052000","소공동","111402005001","서울특별시 중구 세종대로 99","04519","다사536519","126.9749535","37.5658716","국립","1종","02-2022-0600","1998.12.01","Y","2023.01.02","국립13-2023-01호","www.mmca.go.kr, www.facebook.com/MMCAKorea, ,www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA, www.youtube.com/MMCAKorea, tv.naver.com/mmca","Y","1000","Y","1181","2247","1152","275","78","64",,,"연2회","1","155","174246","1124",,,,,,,,,,"기획전시별 별도 책정,(2,000원~3,000원 수준),* 덕수궁 입장료 제외",,,,,"20","20~50","아시아나클럽 일반회원 20% (카드제시자에 한함),,다둥이카드 소지자 20% 할인,,LG유플러스 멤버스 앱 회원 50% 할인(앱쿠폰인증)","1.일반,,만24세 이하 또는 만65세 이상,,대학생(학부생),,국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족),,국가유공자·독립유공자 유족증 소지자,,장애인 및 동행보호자,,문화누리카드 소지자,,미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) ,,국립현대미술관 유료회원,,박물관·미술관 학예사 자격 취득자,,예술인패스 소지자,,ICOM(국제박물관협의회) 카드 소지자,,CIMAN(국제근현대미술관위원회) 카드 소지자,,패트론/파트너 카드 소지자,,학부모 On누리 사이트 내 학교폭력대응 관련 과정 이수증 소지자,,,,2.제휴사,,아시아나클럽 우수회원 카드(카드제시자에 한함),,,,3.매월 마지막 수요일 문화가 있는 날","64","28",,"2",,"151","3","0","18",,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000004","문화시설","미술관","국립현대미술관 미술품수장센터(청주관)","충북","청주시","4311410200","내덕동","4311453000","내덕2동","431143236027","충청북도 청주시 청원구 상당로 314","28501","다바991508","127.4901578","36.6556337","국립","1종","043-261-1400","2018.12.27","Y","2023.01.02","국립13-2023-01호","www.mmca.go.kr, www.facebook.com/MMCAKorea, ,www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA, www.youtube.com/MMCAKorea, tv.naver.com/mmca","Y",,"N","12077","19865","3669","7,384","295","639","72","4,120","연3회","13","312","193023","619",,,,,,,,,"전체",,,,,,,,,"전체","64","28",,"5",,"151","4","3","0",,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000005","문화시설","미술관","DDP디자인뮤지엄","서울","중구","1114014900","을지로7가","1114059000","광희동","111403101006","서울특별시 중구 을지로 281","04566","다사567520","127.0097436","37.5671687","공립","1종","02-2153-0001","2014.03.21","Y","2020.02.17","서울-공립13-2020-01호","www.ddp.or.kr","N",,"N","62109","82464","1557","871","1,789","428",,,"연9회","2","324","54050","166",,,,,,,,,"전체",,,,,,,,,"전체",,,,,,,,,,,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000006","문화시설","미술관","겸재정선미술관","서울","강서구","1150010400","가양동","1150060300","가양1동","115004145407","서울특별시 강서구 양천로47길 36","07522","다사415527","126.8384005","37.5721936","공립","1종","02-2659-2206","2009.04.23","Y","2014.02.14","서울-공립13-2014-03호","www.gjjs.or.kr","N",,"N","4065","3305.29","606","109","343","74","13","3,251","연7회","7","286","35085","123","1000","0","500","500","1000","30","35","겸재정선미술관-허준박물관 통합관람권(35%), 2,4주 토요일 무료입장, 문화가 있는 날, 야간 무료입장 등","만 6세 이하 및 65세 이상, 국가유공자？독립유공자 및 그 유족 또는 가족, 장애인 및 보호자 1인, 다둥이 행복카드 소지자(등재 가족 포함)","1000","0","500","500","1000","30","35","겸재정선미술관-허준박물관 통합관람권(35%), 2,4주 토요일 무료입장, 문화가 있는 날 야간 무료입장 등","만 6세 이하 및 65세 이상, 국가유공자？독립유공자 및 그 유족 또는 가족, 장애인 및 보호자 1인, 다둥이 행복카드 소지자(등재 가족 포함)",,,,,,,,,"65",,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000007","문화시설","미술관","서울시립미술관","서울","중구","1114016600","서소문동","1114052000","소공동","111404103076","서울특별시 중구 덕수궁길 61","04515","다사535517","126.9737099","37.5641128","공립","1종","02-2124-8800","1988.08.19","Y","1999.03.15","서울-공립13-1999-01호","https://sema.seoul.go.kr/","Y","무료","Y","25402","13433","3256","870","579","2,213","205","44,734","연18회","111","318","2625138","8255",,,,,,,,,"전체",,,,,,,,,"전체","30","8",,"38",,"59","14",,"108",,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000008","문화시설","미술관","성북구립미술관","서울","성북구","1129010100","성북동","1129052500","성북동","112903107008","서울특별시 성북구 성북로 134","02837","다사554551","126.9948824","37.5948491","공립","2종","02-6925-5011","2009.11.29","Y","2010.12.29","서울-공립21-2010-07호","https://sma.sbculture.or.kr/sma/","N",,"Y","532","696.06","221.6","47",,"23",,,"연11회","7","179","27956","156",,,,,,,,,"전체",,,,,,,,,"전체",,,,,,,"2",,,,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000009","문화시설","미술관","성북구립 최만린미술관,(성북구립미술관 분관)","서울","성북구","1129013300","정릉동","1129064000","정릉3동","112904121390","서울특별시 성북구 솔샘로7길 23","02708","다사562569","127.0042969","37.6106609","공립","미등록","02-6952-5016","2020.08.20","N","미등록","미등록","https://sma.sbculture.or.kr/sma/","N",,"Y","321","255.3","150.4","18",,"27",,,,,"116","3677","32",,,,,,,,,"전체",,,,,,,,,"전체",,,,,,,"2",,,,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000010","문화시설","미술관","성북어린이미술관 꿈자람,(성북구립미술관 분관)","서울","성북구","1129013700","상월곡동","1129072500","월곡2동","112904121757","서울특별시 성북구 화랑로18자길 13","02791","다사603562","127.0505923","37.6049244","공립","미등록","02-6952-5022","2019.08.13","N","미등록","미등록","https://sma.sbculture.or.kr/sma/","N",,"Y","2468","337.9","119",,,"13",,,,,"201","7405","37",,,,,,,,,"전체",,,,,,,,,"전체",,,,,,,"2",,,,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000011","문화시설","미술관","성북예술창작터,(성북구립미술관 분관)","서울","성북구","1129010200","성북동1가","1129052500","성북동","112903107008","서울특별시 성북구 성북로 23","02880","다사562546","127.0041186","37.5900528","공립","미등록","02-2038-9989","2013.04.11","N","미등록","미등록","https://sma.sbculture.or.kr/sma/","N",,"Y","131.2","204.7","135",,,"15",,,,,"110","3242","29",,,,,,,,,"전체",,,,,,,,,"전체",,,,,,,"2",,,,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000012","문화시설","미술관","종로구립 박노수미술관","서울","종로구","1111011100","옥인동","1111051500","청운효자동","111104100205","서울특별시 종로구 옥인1길 34","03034","다사529536","126.9667495","37.5812529","공립","1종","02-2148-4171","2013.08.13","Y","2013.08.13","서울-공립13-2013-07호","https://www.jfac.or.kr/site/main/content/parkns01","N",,"N","957","351","191","106",,"12",,,"연1회","5","310","30550","99",,,,,,,,,,"3000","0","1200","1800","1800","40","50","종로구민(50% 할인), 한복착용(50% 할인), 문화가 있는 날(50% 할인)","국빈·외교사절단 및 수행자, 6세 이하 어린이, 만 65세 이상, 장애인 및 보호자, 국가유공자와 그 유족 또는 가족, 기초수급자, 다둥이행복카드 소지자 및 가족, 종로구 명예구민, 연구 및 공무수행",,,,"3",,,"1",,"333",,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000013","문화시설","미술관","63아트","서울","영등포구","1156011000","여의도동","1156054000","여의동","115603118001","서울특별시 영등포구 63로 50","07345","다사504468","126.9397609","37.5195719","사립","1종","02-1833-7001","2008.09.26","Y","2008.09.26","서울 사립13-2008-13호","https://www.63art.co.kr","Y","무료","Y","10592","2112","2122","66",,,,,,,"365",,,"대인(14세 이상): 15,000,소인, 경로: 11,000",,,,,"30",,,"36개월 미만",,,,,,,,,,,,,,,,,,,"1",,,,"43",,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
"KCDMART23N000000014","문화시설","미술관","JCC아트센터","서울","종로구","1111016900","혜화동","1111065000","혜화동","111104100418","서울특별시종로구 창경궁로35길 29","03076","다사560543","127.0020048","37.5872417","사립","1종","02-2138-7373","2016.02.22","Y","2016.02.22","서울-사립13-2016-01호","http://www.jeijcc.org/","N",,"Y","3180.22","121","121","60",,"29",,,,,"23",,,,,,,,,,,"전체",,,,,,,,,"전체",,,,,,,,,,,,,,,,,,"20240418","문화기반시설총람 2023","KC_478_DMSTC_MCST_ARTGR_2023","20231221"
